product_code|gender|full_price|price|currency|country|item_url|brand|website|date|price_max
144734|WOMEN|0|15.00|EUR|France|/uk/hocus-to-my-pocus-bridesmaid-card-set/invt/144734|KATE SPADE|KATE SPADE|20170222|0
164230|WOMEN|0|14.00|EUR|France|/uk/desk+stationery/bikini-dot-folio-set/invt/164230|KATE SPADE|KATE SPADE|20170222|0
165531|WOMEN|0|15.00|EUR|France|/uk/desk+stationery/floral-tumbler/invt/165531|KATE SPADE|KATE SPADE|20170222|0
168130|WOMEN|0|15.00|EUR|France|/uk/desk+stationery/large-floral-spiral-notebook/invt/168130|KATE SPADE|KATE SPADE|20170222|0
164730|WOMEN|0|20.00|EUR|France|/uk/floral-thank-you-card-set/invt/164730|KATE SPADE|KATE SPADE|20170222|0
pwru5288-234|WOMEN|0|178.00|EUR|Germany|/uk/cross-body/cameron-street-stormie/invt/pwru5288-234|KATE SPADE|KATE SPADE|20170222|0
pxru7511-231|WOMEN|0|250.00|EUR|Germany|/uk/totes/cameron-street-large-lane/invt/pxru7511-231|KATE SPADE|KATE SPADE|20170222|0
pxru7511-001|WOMEN|0|250.00|EUR|Germany|/uk/totes/cameron-street-large-lane/invt/pxru7511-001|KATE SPADE|KATE SPADE|20170222|0
pxru7511-433|WOMEN|0|250.00|EUR|Germany|/uk/totes/cameron-street-large-lane/invt/pxru7511-433|KATE SPADE|KATE SPADE|20170222|0
pxru5931-231|WOMEN|0|340.00|EUR|Germany|/uk/satchels/cameron-street-candace-satchel/invt/pxru5931-231|KATE SPADE|KATE SPADE|20170222|0
pxru5931-001|WOMEN|0|340.00|EUR|Germany|/uk/satchels/cameron-street-candace-satchel/invt/pxru5931-001|KATE SPADE|KATE SPADE|20170222|0
pwru5342|WOMEN|0|60.00|EUR|France|/uk/small-accessories/be-mine-just-my-type-card-holder/invt/pwru5342|KATE SPADE|KATE SPADE|20170222|0
8aru1716|WOMEN|0|40.00|EUR|France|/uk/tech/scattered-hearts-iphone-7-case/invt/8aru1716|KATE SPADE|KATE SPADE|20170222|0
pxru7404|WOMEN|0|115.00|EUR|France|/uk/handbag-accessories/be-mine-applique-hearts-strap/invt/pxru7404|KATE SPADE|KATE SPADE|20170222|0
pxru7120|WOMEN|0|88.00|EUR|France|/uk/handbag-accessories/mix-it-up-strap-tassel-pack/invt/pxru7120|KATE SPADE|KATE SPADE|20170222|0
pxru7405|WOMEN|0|115.00|EUR|France|/uk/handbag-accessories/be-mine-connected-hearts-strap/invt/pxru7405|KATE SPADE|KATE SPADE|20170222|0
